ID_школы;Название_школы;Город;Регион;Ссылка_на_страницу
cd6c1f3f-99c1-48d3-b2be-05f856ba7a74;МБОУ городского округа Балашиха СОШ №18;г. Балашиха;;https://uchi.ru/schools/pages/cd6c1f3f-99c1-48d3-b2be-05f856ba7a74
1339604d-cccf-498e-9eab-45f542caab8e;МОУ Поповская ООШ;г. Поповская;;https://uchi.ru/schools/pages/1339604d-cccf-498e-9eab-45f542caab8e
de894e1e-cd3b-4edc-93a5-937f4d22e7db;МБОУ Серковская СОШ Щелковского района Московской области;г. Серково;;https://uchi.ru/schools/pages/de894e1e-cd3b-4edc-93a5-937f4d22e7db
8a708622-be8d-412d-8b38-a4f82ddc5848;МОУ - Спас Заулковская школа Планета детства;г. Клин;;https://uchi.ru/schools/pages/8a708622-be8d-412d-8b38-a4f82ddc5848
6236ea24-fc4f-49ea-a309-f6e8e98f452c;МБОУ СОШ №3 имени С. А. Красовского п. Монино Щёлковского муниципального района Московской области;г. Монино;;https://uchi.ru/schools/pages/6236ea24-fc4f-49ea-a309-f6e8e98f452c
8ddd5422-5541-4403-bab0-a7d98d6e5f95;МОУ Семеновская СОШ;г. Семеновское;;https://uchi.ru/schools/pages/8ddd5422-5541-4403-bab0-a7d98d6e5f95
078f4acd-d468-4d71-bb3f-0a69881cb77c;ЧОУ Православная классическая гимназия София;г. Клин;;https://uchi.ru/schools/pages/078f4acd-d468-4d71-bb3f-0a69881cb77c
70015e03-25b7-4a2c-886c-d228d3821664;Автономная некоммерческая образовательная организация Лингвистическая гимназия Виктория;г. Горки-2;;https://uchi.ru/schools/pages/70015e03-25b7-4a2c-886c-d228d3821664
105cd589-5638-4e19-b3c3-343f750c7788;МБОУ Татищевская ООШ;г. Устье;;https://uchi.ru/schools/pages/105cd589-5638-4e19-b3c3-343f750c7788
eb807b4d-f3b8-477b-80d8-505c5025caa3;МОУ Сычевская СОШ;г. Сычево;;https://uchi.ru/schools/pages/eb807b4d-f3b8-477b-80d8-505c5025caa3
dd1ae64e-1032-4fcd-87fa-96ec4a035680;МОУ Новосельская ООШ;г. Раменское;;https://uchi.ru/schools/pages/dd1ae64e-1032-4fcd-87fa-96ec4a035680
76268df6-bd19-4670-8783-63dc5e565b57;МБОУ Дедовская школа-интернат для обучающихся с ограниченными возможностями здоровья городской округ Истра Московской области;г. Дедовской школы-интерната;;https://uchi.ru/schools/pages/76268df6-bd19-4670-8783-63dc5e565b57
68737ccf-7d43-44e3-b3f8-c540ed92ba28;МБОУ Шабурновская ООШ;г. Шабурново;;https://uchi.ru/schools/pages/68737ccf-7d43-44e3-b3f8-c540ed92ba28
